material_id,pretty_formula,band_gap
mp-743538,CrH18(O3F)3,4.2682
mp-752414,Tb2TiO5,3.3264
mp-754138,CsDyO2,2.835
mp-768450,Tm3Sb5O12,3.1094
mp-862376,Sc2CuTc,0.0
mp-865270,TmTaOs2,0.0
mp-866179,Li2NdTl,0.0
mp-866649,NaSc(BH4)4,4.88
mp-934,LiTl,0.0
mp-978085,Pr2TlAg,0.0
mp-983586,Ac2SiHg,0.0
mp-989639,Cs2KInF6,5.6114
mp-1001,BaN2,0.0
mp-1007918,DyAu,0.0
mp-1019730,EuZn(BO2)5,0.0
mp-1021505,Ce(P3Os)4,0.2606
mp-10270,ScCo3C,0.0
mp-1077994,SiSnPd5,0.0
mp-1079079,HfAsRu,0.0
mp-1079706,Ti5Al2C3,0.0
mp-1079790,TbSnPt,0.0
mp-1106202,Ce2Zn5Sn,0.0
mp-1112960,CsInF3,3.089
mp-1178715,Yb2Te5O13,1.828799999999999
mp-1183079,Ac2MgTl,0.0
mp-1185050,La2TlAg,0.0
mp-1186618,PmNdZn2,0.0
mp-1187722,Y2TlHg,0.0
mp-1189749,Mg2GaB2Ir5,0.0
mp-1191155,TiP2PbO8,2.5899
mp-1195620,LiH2ClO5,5.5649
mp-1196536,Np2SeO9,0.0
mp-1197810,Cs6Dy21S34Cl,1.9469
mp-1205254,U6Al43W4,0.0
mp-1205564,Er2Ge2Ru,0.0
mp-1205779,ErMgIn,0.0
mp-1206436,SmAgGe,0.0
mp-1207692,Y(ZnP)3,0.24749999999999903
mp-1207955,TmZnRh,0.0
mp-1209188,RbTb2Cl7,4.5149
mp-1209966,Nd3(P3Pd10)2,0.0
mp-1211748,K3Ta2AsS11,1.8915000000000002
mp-1215838,Zn15B6Rh17,0.0
mp-1217074,Ti2HC,0.0
mp-1217581,TbAlNi4,0.0
mp-1217952,Ta12Co3Pt3Se32,0.0
mp-1219823,PrU2S5,0.0
mp-1220116,NdTaTiO6,3.0414
mp-1221029,NaPr9(Ge3O13)2,3.6451000000000002
mp-1225952,CsNbWO6,2.9188
mp-1226326,Cr3Cu2SbS8,0.0
mp-1228942,CsCuRhF6,0.0
mp-13686,Nb5Si3,0.0
mp-13979,Ca2Nb2O7,3.0148
mp-15740,SrZn2(AsO4)2,2.8662
mp-16126,RbNa2Ge17,0.0
mp-1842,NbAl3,0.0
mp-20573,DyMgIn,0.0
mp-20969,NpSb,0.0
mp-21588,Sc2Fe3Si5,0.0
mp-22484,Ba7MnFe6F34,2.0899
mp-23171,PrBi,0.0
mp-2486,UC2,0.0
mp-2591,Ti3O,0.0
mp-27247,Na3NbO4,3.7821
mp-28251,Ta2Zn3O8,3.5092
mp-29273,Ca2Ge7O16,2.8677
mp-30379,GaAu,0.0
mp-30757,La5Sn4,0.0
mp-31076,Tl2TeBr6,2.237199999999999
mp-31130,ErNi7B3,0.0
mp-36751,In5AgS8,0.0
mp-38102,Na3CeF7,2.8326000000000002
mp-4179,YbPO4,0.0
mp-4283,LaSi2Pt,0.0
mp-504520,RbEu3F10,0.0
mp-504748,P3Pb5ClO12,3.4109
mp-554034,KLa2NbO6,3.7601999999999993
mp-556587,AuSCl7,1.8347
mp-559144,GePb3O5,2.3916
mp-567391,Dy3Se3N,1.172799999999999
mp-569974,Nd(NiP)2,0.0
mp-581922,CsMo3Br3Cl4,2.5856
mp-5929,Na5SiP3,1.327999999999999
mp-6174,Mg2Al4Si5O18,4.8175
mp-645591,Eu2(Ga3Rh)3,0.0
mp-651160,Gd3NCl6,1.956999999999999
mp-672238,CeCuSb2,0.0
mp-672352,Al(ICl2)3,1.7106
mp-6759,BaGa2(SiO4)2,4.009
mp-703316,LaMg2H7,2.5942
mp-754068,Mn(Cu3O4)2,0.0
mp-864936,MnGeRu2,0.0
mp-864945,MnBe2Rh,0.0
mp-865373,YCo,0.0
mp-865562,Be3Ru,0.0
mp-866288,BeVCo2,0.0
mp-867137,ScVRu2,0.0
mp-8700,K2Au3,0.0
mp-978256,Mg2TlPb,0.0
mp-1019786,K3Zn(BO2)5,4.2518
mp-1025375,YGa5Co,0.0
mp-1025553,EuSi2Ni,0.0
mp-1039148,CaMg,0.0
mp-1068653,CaSi3Ir,0.0
mp-1095667,TmAlPd,0.0
mp-10992,DyCuAs2,0.0
mp-1102496,EuH2,0.0
mp-1102700,TmGeIr,0.0
mp-1103243,NbNiAs,0.0
mp-1104181,Ni(BW)3,0.0
mp-1104473,KCr5Se8,0.027200000000000002
mp-1105368,NbAlBr8,1.534
mp-1133299,CaV(SiO3)2,2.3471
mp-11453,HfPd3,0.0
mp-1184473,Eu2TlIn,0.0
mp-1185549,Mg149Br,0.0020999999999990002
mp-1186437,Pd3W,0.0
mp-1187417,Ti2MoPd,0.0
mp-1188603,La(Sb3Ru)4,0.0
mp-1188821,Cs3LaI6,3.0567
mp-1189402,Ta2Be17,0.0
mp-1189843,Np2Tc3Ge4,0.0
mp-1190670,Gd3B7W,0.0
mp-1194888,Lu2Si4Mo3,0.0
mp-1195592,Ba3GaAs3,0.7389999999999991
mp-1198536,Tb5P12Ru19,0.0
mp-1203016,Ba3Al3As5,1.293599999999999
mp-1203372,Sc5(CoSn3)6,0.007099999999999
mp-12046,Rb3Na(RuO4)2,0.5138
mp-1204783,Cs3SbS4,2.130499999999999
mp-1205080,Ba2PIO4,4.389299999999999
mp-1205840,Cs2TcCl6,1.3283
mp-1206250,La2CdPd2,0.0
mp-1206468,SmIn5Rh,0.0
mp-1207933,Y3Sc2(GaO4)3,3.5945
mp-1209587,RbEr(MoO4)2,3.6006
mp-1209825,NdMgAg,0.0
mp-1209882,Nd2Be2GeO7,4.4069
mp-1211956,K2Na4ZnSn2,0.0
mp-1213208,Er5BiPd2,0.0
mp-1213805,CrI3,1.1611
mp-1215514,YbMnCuP2,0.0
mp-1219908,PdPt,0.0
mp-1219973,PrGa3Pt,0.0
mp-1220340,Nd2Ge3Pd,0.0
mp-1220560,Nd2(InSn)3,0.0
mp-1221154,Na4Sr2SiAs4,0.5743
mp-1222999,LaZrTa3O11,3.3356
mp-1223451,KCeF4,0.0
mp-1264,CdAu3,0.0
mp-13287,BaCuTeF,0.9884000000000001
mp-13382,CeZnPd,0.0
mp-14406,Ba2Re6S11,1.3613
mp-15238,Ho4C5,0.0
mp-1570,YFe2,0.0
mp-17667,Sr3AlSb3,0.537
mp-18483,Rb6Si2O7,3.1390000000000002
mp-19899,Dy3SnC,0.0
mp-2152,YNi5,0.0
mp-22187,Gd(GeRh)2,0.0
mp-22793,AlFe3C,0.0
mp-23412,SbCl4F,1.3854
mp-24338,Sr5As3H,0.6806999999999991
mp-27664,TiPCl9,2.1747
mp-27775,U(BiO3)2,1.4173
mp-2892,BaNd2O4,3.3935
mp-29373,KAlSb4,0.244399999999999
mp-30863,Sc57Rh13,0.0
mp-31049,NdO2,3.5141
mp-38494,Y4AsSe3,0.0
mp-395,ZrAl3,0.0
mp-542003,Yb2Ni12P7,0.0
mp-542662,Ga2Te2Cl7,1.4191
mp-542879,Nd12Ni6Sn,0.0
mp-556679,Na2Ca3Si3O10,4.375500000000001
mp-558390,RbGa2P5O16,4.4178
mp-560685,K2Ge(IO3)6,3.3476
mp-567122,Sm11Cd45,0.0
mp-567510,BaSn2,0.037399999999999003
mp-568452,Ce3Si11Pt23,0.0
mp-570981,Ce2Al16Pt9,0.0
mp-581877,Cs2Zr(Si2O5)3,4.946999999999999
mp-582813,K10In5Sb9,0.599599999999999
mp-638084,DyNiGe2,0.0
mp-651434,K2Mn2(MoO4)3,3.0261
mp-6648,KLiB4O7,5.0827
mp-680450,K2LiSn4,0.8388999999999991
mp-704115,Cr2P4Pb3O16,2.4533
mp-774466,CoP6(WO8)3,0.0
mp-861973,PaCdAu2,0.0
mp-864919,MgTiRh2,0.0
mp-865363,Tm2MgRu,0.0
mp-866075,MgTaIr2,0.0
mp-866199,AcAg,0.0
mp-867242,Sc2ZnGa,0.0
mp-977542,LiTbTl2,0.0
mp-998949,TiPt,0.0
mp-1001611,LuTlSe2,1.2344
mp-10659,Ho,0.0
mp-1068235,SrGe3Ir,0.0
mp-1078999,NdAlH6,2.445
mp-1094909,Mg2Cd,0.0
mp-1103002,EuIn4Ni,0.0
mp-1103552,Eu(AlSe2)2,0.9037000000000001
mp-1112680,Cs2LiCeI6,0.423699999999999
mp-1185207,LiCdHg2,0.0
mp-1186330,NdSmTl2,0.0
mp-1187340,TbLuIn2,0.0
mp-1187509,YbYPt2,0.0
mp-1187609,YbDyZn2,0.0
mp-1188524,Eu(P3Ru)4,0.0
mp-1190095,HoSiPt2,0.0
mp-1190367,SrCdAs2O7,2.4741
mp-1195547,LaTl(PSe3)2,1.789499999999999
mp-1196894,TbCo5P3,0.0
mp-1198019,ReN2(OF2)4,0.5304
mp-1199220,Eu3Rh4Pb13,0.028599999999999
mp-1200753,Ho3Rh2,0.0
mp-1201301,K2Hf2O5,4.4683
mp-1205012,Ca10Si3Pt7,0.0
mp-1206201,Gd2Co2I,0.0
mp-1206435,Ba2DyTaO6,3.3837
mp-1206788,Tb2CdNi2,0.0
mp-1207149,Nd2CdAu2,0.0
mp-1207750,Y5(SiB4)2,0.0
mp-1208208,Y3Ga3(FeO6)2,2.6298
mp-1209292,Sc6InCo2,0.0
mp-1210681,Lu6InCo2,0.0
mp-1210877,Li2TcO3,0.407199999999999
mp-1211728,K3In(IO3)6,3.2709
mp-1213158,Er5(SiSb)2,0.0
mp-1214373,Ce6Ni20As13,0.0
mp-1217232,U6Cu3Ni3Sb8,0.0
mp-1218763,Sr2MnSbO6,0.9533
mp-1219280,SiNi3Mo2,0.0
mp-1221206,Na4Ca2SiAs4,0.6332999999999991
mp-1222572,Li7Cu2N3,0.311499999999999
mp-1225890,Cu9Sb(AsS6)2,0.0
mp-1226589,CeNdAl2O6,0.009199999999999
mp-1228124,Ba6Ti5PtO18,2.0169
mp-1245674,ZnMoN2,0.0
mp-15785,KDyS2,2.365999999999999
mp-15931,NdCrS3,0.0
mp-17660,SrPrCuSe3,1.4609
mp-23414,Sc4NCl6,0.0
mp-28421,Cs2HgI4,2.0411
mp-28892,PH4N3,4.5996
mp-29002,SrMgSi2,0.0
mp-29937,Ho5(ReO6)2,0.0
mp-505113,TiSn6F16,2.7043
mp-505798,Na4TiSe4,1.6703999999999999
mp-5382,Sc6Si7Ni16,0.0
mp-541108,Cd2Si(P2O7)2,4.0752
mp-541352,P4S3I2,2.2079
mp-542140,Ta2Tl4Se11,1.0857
mp-554704,TiPHO5,2.8504
mp-555344,Hf2P2O9,4.9365000000000006
mp-555720,Dy2Hf2(MoO4)7,3.192199999999999
mp-556500,NClOF4,1.6461000000000001
mp-557874,KAg(PO3)2,2.9067
mp-558638,SmMoO4F,3.854
mp-559617,HfB2O5,4.4146
mp-568902,Yb(CoGe)2,0.0
mp-571143,TiCl3,0.032400000000000005
mp-574283,GdTe,0.0
mp-582736,Eu(MgSb)2,0.0
mp-607004,CeAsSe,0.0
mp-6169,Ba3Ta6(Si2O13)2,3.030699999999999
mp-641775,Sr19In8N7,0.0
mp-6419,CaSi2(BO4)2,5.6692
mp-642331,Ca19In8N7,0.0
mp-6441,K2PO3F,4.4668
mp-6496,Ba2Na(CuO2)3,0.0
mp-674333,Na3PO4,3.9072
mp-683937,Ni13Sn8P3,0.0
mp-6978,RbHoO2,3.673
mp-7298,Li(CuP)2,0.0
mp-738639,Ba14Ir8(PdO11)3,0.0
mp-753774,KTmO2,3.9715
mp-754844,Na2IrO3,0.0
mp-768918,Ce(ClO4)4,1.5139
mp-862311,Sc2GaRu,0.0
mp-865459,Lu2AgRu,0.0
mp-865531,TiMn2Al,0.0
mp-865581,Li2DyTl,0.0
mp-866014,CaSmHg2,0.0
mp-866180,Li2YbPb,0.0
mp-867265,LiTm2Os,0.0
mp-912,LaPt2,0.0
mp-998553,KAgBr3,0.0
mp-1018071,MnFe2Ge,0.0
mp-1020860,Rb2MgSi5O12,4.4805
mp-1025294,CdAsPd5,0.0
mp-1078547,YSnPt2,0.0
mp-1080702,Ba(CuSb)2,0.0
mp-1104325,Tb3Zn11,0.0
mp-1184424,DyYIn2,0.0
mp-1191905,Dy3(SiNi3)2,0.0
mp-1193443,Nd2(Ga3Co)3,0.0
mp-1203253,S7N,0.6464000000000001
mp-1203715,Cs2TiP4O13,2.6919
mp-1205575,Sr2ScOsO6,0.0
mp-1206307,YbInNi4,0.0
mp-1207808,Y3BBr3,0.0
mp-1208292,TbAl3Cu2,0.0
mp-1208848,Sm2MgSi2,0.0
mp-1209327,RbBi3Se5,0.9842999999999991
mp-1210464,Na2Nd2B2O7,4.1561
mp-12105,RbO2,0.0
mp-1211343,KNdF4,7.1656
mp-1211646,Li3Lu3(TeO6)2,3.1123
mp-1214488,Ba4As3,0.0
mp-1214812,Cs3(Na13In24)2,0.008099999999999
mp-1218464,Sr4TlFe2O9,0.0
mp-1219442,SbTePd2,0.0
mp-1224771,Fe3NiP4,0.0
mp-1226311,Cs2MnNiF6,3.8825000000000003
mp-1226868,Cs3Sm7Se12,1.4741
mp-1228704,Ca2Pr19(CoI12)3,0.0
mp-14029,AgMoPO6,2.1575
mp-18420,Er3CrS6,0.311499999999999
mp-18562,Na2Si2Se5,2.4355
mp-18806,Ni3(BO3)2,0.0
mp-19085,Ba2MnWO6,2.3107
mp-24719,NiH,0.0
mp-25840,LiTi2(PO4)3,2.5463
mp-29885,Ni10SnP3,0.0
mp-30344,Li2InAg,0.0
mp-30403,Li2PbAu,0.0
mp-3285,Na2Ta4O11,3.5073
mp-3683,Ho3(CuGe)4,0.0
mp-3869,TbBRh3,0.0
mp-3931,SmSF,0.0
mp-4079,Sc3AlC,0.0
mp-504882,CaSb10(S3O5)2,1.7638999999999991
mp-505236,V2Hg(P2O7)2,0.0
mp-505794,ScH6N2Cl3,3.8657
mp-542148,Sb2N5F11,3.9604
mp-557122,RbAu(SeO4)2,1.5095
mp-557352,CaP2Xe5F22,2.7179
mp-559880,K2Ag6Sn3S10,0.7928000000000001
mp-1018764,Li3HoSb2,0.0
mp-1018808,MgCoGe,0.0
mp-1019542,BaCaB2O5,4.4757
mp-1020634,SrMgB2O5,4.6951
mp-10212,ScGe2,0.0
mp-1025175,Lu2Cr2C3,0.0
mp-1025213,InPPt5,0.0
mp-1025409,TmPt,0.0
mp-1025502,TiCuF6,0.10159999999999901
mp-1029458,Zn2CrN3,0.0
mp-1029750,Sr3RuN3,0.0
mp-1064469,YbNiC2,0.0
mp-1071627,LaSiNi4,0.0
mp-1076,KB6,0.0
mp-10780,RbSmSe2,1.975299999999999
mp-1078499,Er3(CoGe2)2,0.0
mp-1078527,ThAlPd,0.0
mp-1078738,Er2InCu2,0.0
mp-1078938,YAl2Pd5,0.0
mp-1078948,Nd(BIr)2,0.0
mp-1079090,Er3Sn7,0.0
mp-1079112,Y2InPd2,0.0
mp-1079168,ThGaPt,0.0
mp-1079773,Nd(GePt)2,0.0
mp-1080381,SmB2Ir3,0.0
mp-1080715,ScSiRu,0.0
mp-1080787,Sr2GdRuO6,0.0
mp-1095324,U2In8Rh,0.0
mp-1095605,GdAl4Ni,0.0
mp-1096867,Cd(CuSe)2,0.0
mp-1098,Yb4As3,0.0
mp-1101845,EuGaGe,0.0
mp-1102354,ThTc2,0.0
mp-1102486,SmPO4,5.8283000000000005
mp-1102558,TmNiP,0.0
mp-1102757,HoGaPt,0.0
mp-1102945,HfGeRh,0.0
mp-1103022,TmGaPd,0.0
mp-1103158,TiGeIr,0.0
mp-1103989,Nd(Mo3S4)2,0.0
mp-1104008,NdGa6,0.0
mp-1104610,Eu5Pd2,0.0
mp-1104658,Sm(Re2Si)2,0.0
mp-1105496,Rb2Hg3Se4,1.0617
mp-1105571,UReC2,0.0
mp-1106219,Zr5AlPb3,0.0
mp-1106351,Nd(As3Os)4,0.0
mp-1111421,K3LuCl6,4.726
mp-1111923,K2LiRuF6,0.0
mp-1112515,Cs2RbLuCl6,5.0869
mp-1112656,Cs2NaCeI6,0.306799999999999
mp-1112754,Cs2KPrBr6,4.2344
mp-1114692,Rb3RuF6,0.0
mp-11533,ZrZnNi4,0.0
mp-11544,Yb2Pb,0.0
mp-11605,KTb2CuS4,1.007699999999999
mp-11606,KHo2CuS4,1.0606
mp-1172870,K2Ho4Cu4S9,0.899799999999999
mp-11765,Ti5Se4,0.0
mp-1178030,Li2Cr3SbO8,2.651299999999999
mp-1178563,AgAsO3,0.2921
mp-1179515,Sc3RuC4,0.0
mp-1183067,Ac2ZnHg,0.0
mp-1183995,GaCu3,0.0
mp-1184310,Eu2ZnGa,0.0
mp-1184366,Gd2TlAg,0.0
mp-1184372,Eu2SbAu,0.0
mp-1185586,Mg149Be,0.5261
mp-1185964,MgSc2Hg,0.0
mp-1186462,Pm2CuPd,0.0
mp-1186575,PmEuPd2,0.0
mp-1186606,PmLuIn2,0.0
mp-1187361,TbMg3,0.0
mp-1187427,Ti2FeOs,0.0
mp-1188666,Sm3Cu3Sb4,0.4051
mp-1189748,Lu2Te3,0.5878999999999991
mp-1190096,TbWC2,0.0
mp-1190157,Ba3(AlPt)4,0.0
mp-1190454,BaHgAs2O7,1.5064000000000002
mp-1190583,NbS3,0.0
mp-1191317,Sr2CoGe2O7,2.1467
mp-1191419,NdEuCuS3,0.0
mp-1191428,Sc2Co12P7,0.0
mp-1192130,Cd2Tc2O7,0.0
mp-1192498,Tm6Mn23,0.0
mp-1192672,BaNb2Xe5F22,2.726499999999999
mp-1192814,Ce3(Si3Pd10)2,0.0
mp-1193173,Cs2ZnBr4,3.836299999999999
mp-1193312,Cs3Er2Br9,4.2885
mp-1194545,Ba2HgS5,1.6680000000000001
mp-1194611,BaUTe6,0.050199999999999
mp-1195141,SrU2S5,0.0
mp-1195189,TbP4HO12,5.8711
mp-1195296,KSb(SO4)2,4.231199999999999
mp-1195363,Rb3Bi2Br9,2.818
mp-1195582,La8Sb2S15,2.012
mp-1195594,Ba8Sn4S15,2.0442
mp-1195700,Na3HoSi2O7,3.972299999999999
mp-1195810,YAg(IO3)4,2.397399999999999
mp-1196004,Re2Sb4O13,2.8768000000000002
mp-1196343,Rb4BaV6O18,3.0652
mp-1197203,CdAg2GeS4,0.8351000000000001
mp-11973,YbSnRh,0.0
mp-1197511,Ti9Mn2(B4Ru9)2,0.0
mp-1198134,Ta3As,0.0
mp-1198509,GePb2(SeO3)4,3.3278
mp-1198692,Ti5Ge4,0.0
mp-1199544,Er5(Co2Si7)2,0.0
mp-1200053,LuFe5P3,0.0
mp-1200065,La6Co13Bi,0.0
mp-1200594,Nd23Mg4Pt7,0.0
mp-1200910,Li7H5N4,2.3082000000000003
mp-1200998,Ba2H8PtO8,2.4505
mp-1201376,ZnIn2(SeO3)4,3.885699999999999
mp-1201622,BPBr6,2.7254
mp-1201786,KB3SeO7,4.5469
mp-1202025,Zr2V3Ge4,0.0
mp-1202169,NaPr3Ge4O13,3.6633
mp-1202733,BPb2O3F,3.1978
mp-1202825,CsLu7S11,2.0075
mp-1203103,Nd3Ga2,0.0
mp-1203235,Cu2PO5,0.0
mp-1203289,CsGeSbO5,1.6632999999999991
mp-1203373,Ge22Rh17,0.0
mp-1203550,Tm11Ge10,0.0
mp-1203605,Hf21Re25,0.0
mp-1203616,Y6Al43Cr4,0.0
mp-1204495,Tb2Ge(BO4)2,4.5992
mp-1204807,Er2Re3Si5,0.0
mp-1205755,TbSnIr,0.0
mp-1206121,DyRu3C,0.0
mp-1206405,Cs(PRh)2,0.0
mp-1206423,NdIn,0.0
mp-1206682,SmNiBi,0.3048
mp-1206848,Cs2TcI6,0.6981
mp-1206850,Dy(SiAg)2,0.0
mp-1206877,Lu3PbC,0.0
mp-1207124,TaHg3F6,0.0
mp-1207793,Y3Sb5O12,3.1809
mp-1208013,TlV(SO4)2,2.0665
mp-1208020,Tm2B6Rh,0.0
mp-1208049,Tm4MgRh,0.0
mp-1208723,SrAs2(XeF6)3,2.9895
mp-1208731,Sm6Ni20P13,0.0
mp-1208842,SmTeAs,0.38880000000000003
mp-1208952,ScTaN2,0.0
mp-1208992,SmSiPd,0.0
mp-1209268,RbErBeF6,7.484999999999999
mp-1209297,PrZnGe,0.0
mp-1209309,Pr(Al5Os)2,0.0
mp-1209345,Pr5AgSn3,0.0
mp-1209422,RbAlCl4,5.2193
mp-1209659,Rb2Mn2Be3F12,5.1571
mp-1209777,Pr3PBr3,0.0
mp-1209872,NdZr2F11,5.7574000000000005
mp-1209984,NdGa4Os,0.0
mp-1210532,Lu5BiPd2,0.0
mp-1210567,MnZn13,0.0
mp-1211578,LaIn2Cl5,2.575
mp-1211645,K3TmF6,6.4866
mp-1211760,KEu2Cl7,0.0
mp-1211872,KCo2(PO4)2,0.0
mp-1212001,K3Si6H6N11,3.113299999999999
mp-1212681,EuGa4Au3,0.0
mp-1212864,Dy5SbPd2,0.0
mp-1212894,DySbRh,0.0
mp-1213403,CsLa(NbBr3)6,0.9811000000000001
mp-1213800,Ce3ZrSb5,0.0
mp-1214176,Ca2B5ClO9,5.2728
mp-1214601,Ba5Re3IO15,2.0357
mp-1214841,Ba2B5BrO9,5.0814
mp-1215168,ZrVMo,0.0
mp-1215680,ZnCr4CdS8,0.0
mp-1215912,Yb2P7Rh12,0.0
mp-1216857,U4(BRu4)3,0.0
mp-1217409,TcIr,0.0
mp-1217758,SrSmB12,0.0
mp-1218015,TaCoNi2,0.0
mp-1218195,SrNd4Si3O13,4.7051
